SampleName,Formation,Mineralogy,Reef platform,Phase,Environment
AB,Balcanoona,dolomite,Oodnaminta,Dolomitised aragonite,Reef margin
Z_MC,Angepena,dolomite,Arkaroola,Dolomite marine cement,Peritidal
Z_SD,Angepena,dolomite,Arkaroola,Saddle dolomite,Peritidal
ASA,Balcanoona,dolomite,Arkaroola,Dolomite marine cement,Shallow platform
AQ24,Balcanoona,dolomite,Arkaroola,Dolomite marine cement,Shallow platform
Q,Balcanoona,dolomite,Arkaroola,Dolomite marine cement,Shallow platform
KC-1,Balcanoona,dolomite,Arkaroola,Microbialite (dolomite after aragonite),Reef margin
KC-2,Balcanoona,dolomite,Arkaroola,Dolomite marine cement,Reef margin
CC,Balcanoona,calcite,Oodnaminta,Chambered reef framework (dolomite after aragonite),Lower margin
ML4,Balcanoona,calcite,Mt. Lyndhurst,Stromatolite (calcite+dolomite after aragonite),Reef margin
A23,Balcanoona,calcite,Oodnaminta,Chambered reef framework (dolomite after aragonite),Lower margin
MtFitton,Balcanoona,dolomite,Mount Fitton,Marine cement,Unknown
