ID,dateTimeMeasured,SampleName,pCO2Ref,pCO2Ref_error,pCO2Sam,pCO2Sam_error,PCellRef,PCellRef_error,PCellSam,PCellSam_error,TCell,TCell_error,d17O,d17OError,d18O,d18OError,Dp17O,Dp17OError,mrMismatch,measurementPeriod
16431,2023-11-07 00:18:40,lightVsRef,416.1,0.3,416.9,0.4,42.387,0.001,42.387,0.001,24.544,0.005,-0.585,0.009,-0.719,0.006,-205.7,10.7,-0.8,2023-11-07 to 2023-12-15
16433,2023-11-07 06:04:10,lightVsRef,416.0,0.4,417.1,0.5,42.396,0.002,42.396,0.002,24.537,0.003,-0.572,0.009,-0.726,0.011,-188.6,8.6,-1.1,2023-11-07 to 2023-12-15
16438,2023-11-08 02:34:56,lightVsRef,416.4,0.3,417.3,0.4,42.497,0.001,42.496,0.001,24.523,0.003,-0.604,0.013,-0.77,0.011,-197.6,9.4,-0.9,2023-11-07 to 2023-12-15
16440,2023-11-08 08:09:39,lightVsRef,416.0,0.3,417.0,0.4,42.454,0.001,42.454,0.001,24.522,0.003,-0.584,0.009,-0.745,0.008,-190.8,7.1,-1.0,2023-11-07 to 2023-12-15
16443,2023-11-08 13:48:34,lightVsRef,416.1,0.3,417.1,0.5,42.506,0.001,42.505,0.001,24.516,0.003,-0.585,0.008,-0.753,0.009,-187.3,7.5,-1.0,2023-11-07 to 2023-12-15
16449,2023-11-08 19:25:49,lightVsRef,416.4,0.4,417.4,0.4,42.456,0.002,42.456,0.001,24.517,0.004,-0.592,0.007,-0.743,0.007,-199.6,7.4,-1.0,2023-11-07 to 2023-12-15
16460,2023-11-10 13:39:54,lightVsRef,416.4,0.3,417.3,0.4,42.488,0.001,42.489,0.002,24.52,0.003,-0.592,0.013,-0.737,0.005,-202.4,12.1,-0.9,2023-11-07 to 2023-12-15
16465,2023-11-10 20:01:28,lightVsRef,416.9,0.4,417.3,0.4,42.486,0.001,42.487,0.001,24.53,0.004,-0.588,0.005,-0.739,0.009,-197.6,3.8,-0.4,2023-11-07 to 2023-12-15
16468,2023-11-11 01:38:36,lightVsRef,417.4,0.3,417.6,0.4,42.443,0.001,42.443,0.002,24.532,0.003,-0.594,0.012,-0.709,0.028,-219.4,6.9,-0.2,2023-11-07 to 2023-12-15
16473,2023-11-11 07:10:32,lightVsRef,417.1,0.4,417.0,0.4,42.469,0.001,42.469,0.001,24.539,0.004,-0.602,0.01,-0.738,0.008,-212.4,9.5,0.1,2023-11-07 to 2023-12-15
